DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE
CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,BLOPRESS 16 PLUS,COMPRIME SECABLE ,"16MG/12,5MG",B/28,Liste I
CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CANDERAX PLUS,COMPRIME,"16MG/12,5MG",B/30,Liste I
CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CARDAXEL PLUS ,COMPRIME,"16MG/12,5MG",B/30,Liste I
CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CO SARCAND,COMPRIME,"16MG/12,5MG",B/30,Liste I
CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CO-ATABEK,COMPRIME SECABLE ,"16MG/12,5MG",B/30,Liste I
CANDESARTAN  (SOUS FORME DE CILEXETIL)**,ATACAND,COMPRIME SECABLE ,16MG, B/30 ,Liste I
CANDESARTAN CILEXETIL,ATABEK,COMPRIME SECABLE ,16MG,B/30,Liste I
CANDESARTAN CILEXETIL,ATASARTAN,COMP SECABLES,16MG,B/30,Liste I
CANDESARTAN CILEXETIL,BLOPRESS 16MG,COMPRIME SECABLE ,16MG,B/28,Liste I
CANDESARTAN CILEXETIL,CANDERAX,COMPRIME SECABLE ,16MG,B/30,Liste I
CANDESARTAN CILEXETIL,CARDAXEL BGL,COMPRIME SECABLE ,16MG,B/30,Liste I
CANDESARTAN CILEXETIL,SARCAND,COMPRIME,16MG,B/30,Liste I
CANDESARTAN CILEXETIL,TENSIONORM,COMPRIME SECABLE ,16MG,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALASTAN,COMPRIME PELLICULE ," 160MG/12,5MG ",B/28 ET B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALSARTAN IVAL,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-ARBITAN,COMPRIME PELLICULE ,"160MG/12,5MG ",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,COSARTEG,COMP. ENRO.,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-TABUVAN,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I 
VALSARTAN/HYDROCHLOROTHIAZIDE,COTAREG,COMPRIME PELLICULE ,"160MG/12,5MG",B/28,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-VALEX,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,COVESTAG,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,DIVALAN PLUS,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,NOVAVALZ PLUS,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,THIA-VALSAN,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,VALACLOR PLUS,COMPRIME PELLICULE ,"160MG/12,5MG",B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,VALSARTAN/HYDROCHLOROTHIAZIDE LDM,COMPRIME PELLICULE ,"160MG/12,5MG ",B/28,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALASTAN,COMPRIME PELLICULE ,160MG/25MG, B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-ARBITAN,COMPRIME PELLICULE ,160MG/25MG ,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-RETA,COMPRIME PELLICULE ,160MG/25MG,B/30,LISTE I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-TABUVAN,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I 
VALSARTAN/HYDROCHLOROTHIAZIDE,COTAREG,COMPRIME PELLICULE ,160MG/25MG,B/28,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-VALEX,COMPRIME PELLICULE ,160MG/25MG,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO-VALSARTAN IVAL,COMPRIME PELLICULE ,160MG/25MG,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,NOVAVALZ PLUS,COMPRIME PELLICULE ,160MG/25MG,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,THIA-VALSAN,COMPRIME PELLICULE ,160MG/25MG,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,VALACLOR PLUS,COMPRIME PELLICULE ,160MG/25MG,B/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,VLASARTAN+HCTZ LDM,COMPRIME PELLICULE ,160MG/25MG,B/28 ,Liste I
LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZIDE,CO-NORTA FORT,COMPRIME PELLICULE SECABLE,100MG/25MG,B/28,LISTE I
LOSARTAN POTASSIQUE/HYDROCHLOROTHIAZIDE,COBEKTAL,COMPRIME PELLICULE ,100MG/25MG,B/30,Liste I
LOSARTAN POTASSIQUE/HYDROCHLOROTHIAZIDE,FORLYSART,COMPRIME PELLICULE ,100MG/25MG,B/28,Liste I
LOSARTAN POTASSIQUE/HYDROCHLOROTHIAZIDE,FORTZAAR,COMPRIME PELLICULE ,100MG/25MG,B/28,Liste I
LOSARTAN POTASSIQUE,BEKTAL ,COMPRIME PELLICULE ,100MG, B/30 ET B/90,Liste I
LOSARTAN POTASSIQUE,COZAAR,COMPRIME PELLICULE ,100MG,B/28,Liste I
LOSARTAN POTASSIQUE,HYSARTAN,COMP. PELLI. SEC.,100MG,B/28,Liste I
LOSARTAN POTASSIQUE,LOSARTAN LDM,COMPRIME PELLICULE ,100MG ,B/30,Liste I
LOSARTAN POTASSIQUE,NORTA FORT,COMPRIME PELLICULE SECABLE ,100MG,B/28,LISTE I
PERINDOPRIL TER-BUTYLAMINE,PERINDOPRIL BEKER,COMPRIME,8MG,B/30,Liste I
PERINDOPRIL TER-BUTYLAMINE,PERINDOSYL,COMPRIME PELLICULE ,8MG ,B/30,LISTE I
IRBESARTAN + HYDROCHLOROTHIAZIDE,CO-IRBEDIM,COMPRIME PELLICULE,300MG  / 25 MG,BOITE DE 30,Liste I
IRBESARTAN + HYDROCHLOROTHIAZIDE,IRBESARTAN+ HCTZ LDM,COMPRIME PELLICULE,300MG / 25 MG,BOITE DE 30,Liste I
IRBESARTAN/HYDROCHLOROTHIAZIDE,CO  AVASART,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I
IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-ARADEX 300/25,COMPRIME,300MG/25MG,B/30,Liste I
IRBESARTAN/HYDROCHLOROTHIAZIDE,GIZLAN-PLUS 300/25,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I
IRBESARTAN/HYDROCHLOROTHIAZIDE,IPISART PLUS,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I
IRBESARTAN/HYDROCHLOROTHIAZIDE,IRBISART +,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I
IRBESARTRAN/HYDROCHLOROTHIAZIDE,CO APROSART,COMPRIME PELLICULE ,300MG/25MG,B/30 ,Liste I
 AMLODIPINE BESILATE (AMLODIPINE)/ VALSARTAN,DARTIX,COMPRIME PELLICULE ,5MG/80MG,B/30,LISTE I
AMLODIPINE BESILATE (AMLODIPÏNE/VALSARTAN ) ,EXVAL,COMPRIME PELLICULE ,5MG/80MG,B/30,LISTE I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLODIPINE+VALSARTAN LDM,COMPRIME PELLICULE ,5MG/80MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLOVAL ,COMPRIME PELLICULE ,5MG/80MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,BIOFORGE,COMPRIME PELLICULE ,5MG/80MG,B/30 ET B/90,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXBITAN,COMPRIME PELLICULE ,5MG/80MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXFORMEDIC,COMPRIME PELLICULE ,5MG/80MG,B/28,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXSART,COMPRIME PELLICULE ,5MG/80MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,LOTEVAN,COMP. PELL.,05MG/80MG,B/30,LISTE I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,VESTAMOL,COMPRIME PELLICULE ,5MG/80MG,B/30,Liste I
AMLODIPINE BESYLATE EXPRIME EN AMLODIPINE/VALSARTAN ,EXFORGE,COMPRIME PELLICULE ,5MG/80MG,B/28,Liste I
 AMLODIPINE BESILATE (AMLODIPINE)/ VALSARTAN,ANGIOSAR,COMPRIME PELLICULE ,5MG/160MG ,B/30,LISTE I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLODIPINE+VALSARTAN LDM,COMPRIME PELLICULE ,5MG/160MG ,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLOVAL ,COMPRIME PELLICULE ,5MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMPLID,COMPRIME PELLICULE ,5MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,DARTIX,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXBITAN,COMPRIME PELLICULE ,5MG/160MG ,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXFORGE,COMPRIME PELLICULE ,5MG/160MG,B/28,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXFORMEDIC,COMPRIME PELLICULE ,5MG/160MG ,B/28,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXSART,COMPRIME PELLICULE ,5MG/160MG ,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXVAL,COMPRIME PELLICULE ,5MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,VALAMLO ALEMBIC MAMI,COMPRIME PELLICULE ,5MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,VESTAMOL,COMPRIME PELLICULE ,5MG/160MG,B/30,Liste I
 AMLODIPINE BESILATE (AMLODIPINE)/ VALSARTAN,ANGIOSAR,COMPRIME PELLICULE ,10MG/160MG,B/30,LISTE I
 AMLODIPINE BESILATE (AMLODIPINE)/ VALSARTAN,DARTIX,GELLULE ,10MG/160MG,B/30,LISTE I
AMLODIPINE BESILATE (AMLODIPÏNE/VALSARTAN ) ,EXVAL,COMPRIME PELLICULE ,10MG/160MG,B/30,LISTE I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLODIPINE+VALSARTAN LDM,COMPRIME PELLICULE ,10MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLOVAL ,COMPRIME PELLICULE ,10MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMPLID,COMPRIME PELLICULE ,10MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXFORMEDIC,COMPRIME PELLICULE ,10MG/160MG,B/28,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXSART,COMPRIME PELLICULE ,10MG/160MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,LOTEVAN,COMP. PELL.,10MG/160MG,B/30,LISTE I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,VESTAMOL,COMPRIME PELLICULE ,10MG/160MG,B/30,Liste I
AMLODIPINE BESYLATE EXPRIME EN AMLODIPINE/VALSARTAN ,EXFORGE,COMPRIME PELLICULE ,10MG/160MG,B/28,Liste I
FENOFIBRATE (MICRONISE),EXBITAN,COMPRIME PELLICULE ,10MG/160MG,B/30,Liste I
OLMESARTAN MEDOXOMIL,OLBEK,COMPRIME PELLICULE,10 MG,BOITE DE 30 ET 90,LISTE I
OLMESARTAN MEDOXOMIL,OLBEK,COMPRIME PELLICULE,20 MG,BOITE DE  30 ET 90,LISTE I
OLMESARTAN MEDOXOMIL,OLBEK,COMPRIME PELLICULE,40 MG,BOITE DE  30 ET 90,LISTE I
TELMISARTAN,CARDIMED,COMPRIME,40MG,B/30,Liste I
TELMISARTAN,CARDOMYL,COMPRIME,40MG,BOITE DE 30,LISTE I 
TELMISARTAN,MICARDIS,COMPRIME,40MG,B/28,Liste I
TELMISARTAN,MIZART ,Comprimé ,40MG,B/30,LISTE I
TELMISARTAN,TELMIDIS,COMPRIME ,40MG,B/30,LISTE I 
TELMISARTAN,TELMISA,COMPRIME,40MG,B/30 ET B/90,Liste I
TELMISARTAN,TELMISARTE,COMPRIME,40MG,B/30,Liste I
TELMISARTAN,TELSTAL,COMPRIME,40 MG,BOITE DE 30,LISTE I
TELMISARTAN,TENSOTEL ,COMPRIME ,40MG,B/30,LISTE I
TELMISARTAN ,BEKERDIS ,COMPRIME,40MG,B/30 ET B/90,Liste I
TELMISARTAN,BEKERDIS ,COMPRIME,80MG,B/30,Liste I
TELMISARTAN,CARDIMED,COMPRIME,80MG,B/30,Liste I
TELMISARTAN,MICARDIS,COMPRIME,80MG,B/28,Liste I
TELMISARTAN,MICASARTAN,COMPRIME,80 MG,BOITE DE 30,LISTE I
TELMISARTAN,TELMED 80,COMPRIME,80 MG,BOITE  DE 30,Liste I
TELMISARTAN,TELMIDIS,COMPRIME,80MG,B/30,Liste I
TELMISARTAN,TELMISA,COMPRIME,80MG,B/30 ET B/90,Liste I
TELMISARTAN,TELMISARTAN LDM,COMRPIME,80MG,B/28,LISTE I
TELMISARTAN,TELMISARTE,COMPRIME,80MG,B/30,Liste I
TELMISARTAN,TELSTAL,COMPRIME,80MG,B/30,LISTE I
TELMISARTAN ,TENSOTEL ,COMPRIME ,80MG,B/30,LISTE I
TELMISARTAN/HYDROCHLOROTHIAZIDE,CO BEKERDIS,COMPRIME,"40MG/12,5MG",B/30,Liste I
TELMISARTAN/HYDROCHLOROTHIAZIDE,CO TENSOTEL,COMPRIME,"40MG/12,5MG",B/30,Liste I
TELMISARTAN/HYDROCHLOROTHIAZIDE,MICARDIS PLUS,COMPRIME,"40MG/12,5MG",B/28,LISTE I
TELMISARTAN/HYDROCHLOROTHIAZIDE,TELMISARTE +,COMPRIME,"40MG/12,5MG",B/30,Liste I
TELMISARTEN/HYDROCHLOROTHIAZIDE,MIZART PLUS,COMP,"40MG/12,5MG",B/30,LISTE I
TELMISARTAN/ HYDROCHLOROTHIAZIDE ,CO TENSOTEL,COMPRIME,80 MG / 12.5 MG,BOITE DE 30,Liste I
TELMISARTAN/HYDROCHLOROTHIAZIDE,CO BEKERDIS,COMPRIME,"80MG/12,5MG",B/30,Liste I
TELMISARTAN/HYDROCHLOROTHIAZIDE,MICARDIS PLUS,COMPRIME,"80MG/12,5MG",B/28,LISTE I
TELMISARTAN/HYDROCHLOROTHIAZIDE,MIZART PLUS,Comprimé ,"80MG/12,5MG",B/30,LISTE I
TELMISARTAN/HYDROCHLOROTHIAZIDE,TELMISARTE+,COMPRIME,"80MG/12,5MG",B/30,Liste I
RAMIPRIL/HYDROCHLOROTHIAZIDE,RAMITRIM PLUS,COMP. ,05MG/12.5MG,B/30,LISTE I
RAMIPRIL/HYDROCHLOROTHIAZIDE,TANATRIL +,COMPRIME,"5MG/12,5MG",B/30,Liste I
RAMIPRIL/HYDROCHLOROTHIAZIDE,TRITAZIDE,COMPRIME,"5MG/12,5MG",B/28,LISTE I
RAMIPRIL/HYDROCHLOROTHIAZIDE,RAMITRIM PLUS,COMPRIME ,10MG/25MG,B/30,LISTE I
RAMIPRIL/HYDROCHLOROTHIAZIDE,TANATRIL +,COMPRIME,10MG/25MG,B/30,Liste I
RAMIPRIL/HYDROCHLOROTHIAZIDE,TRITAZIDE,COMPRIME,10MG/25MG,B/28,LISTE I
PERINDOPRIL ARGININE,COVERSYL,COMP. PELLI. SEC.,5MG,B/30,Liste I
PERINDOPRIL ARGININE,COVERSYL,COMPRIME PELLICULE ,10MG,B/30,Liste I
RAMIPRIL/HYDROCHLOROTHIAZIDE,RAMITRIM PLUS,COMP. ,10MG/12.5MG,B/30,LISTE I
RAMIPRIL/HYDROCHLOROTHIAZIDE,TANATRIL +,COMPRIME,"10MG/12,5MG",B/30,Liste I
RAMIPRIL/HYDROCHLOROTHIAZIDE,TRITAZIDE,COMPRIME,"10MG/12,5MG",B/28,LISTE I
PERINDOPRIL ARGININE/INDAPAMIDE,PRETERAX ARGININE,COMPRIME PELLICULE ,"2,5MG/0,625MG",PILULIER/30,Liste I
PERINDOPRIL ARGININE/INDAPAMIDE,BIPRETERAX ARGININE,COMPRIME PELLICULE ,"5MG/1,25MG",PILULIER/30,Liste I
VALSARTAN/HYDROCHLOROTHIAZIDE,CO SARTEG,COMPRIME PELLICULE ,320MG/25MG,B/30,Liste I
VALSARTAN ,SARTEG,COMPRIME PELLICULE ,320MG,B/30,Liste I
VALSARTAN ,VALCARD ALEMBIC MAMI,COMPRIME PELLICULE ,320MG,B/30,Liste I
AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/IRBESARTAN,AMLESAR,Comprimé pelliculé,5MG/150 MG,B/30,LISTE I
AMLODIPINE BESILATE/IRBESARTAN ,EXIRB,COMPRIME PELLICULE,5MG/150 MG,B/30,LISTE I
IRBESARTAN/ AMLODIPINE,APRODEX,COMPRIME PELLICULE,150MG / 05 MG,BOITE DE 30,Liste I
IRBESARTAN/AMLODIPINE,VASCOVEL,COMPRIME PELLICULE ,150MG/5MG,B/30,LISTE I 
IRBESARTAN/BESILATE D'AMLODIPINE ,APROVASC,COMPRIME PELLICULE,150MG/5MG,B/30,LISTE I
IRBESARTAN/AMLODIPINE,VASCOVEL,COMPRIME PELLICULE ,300MG/5MG,B/30,LISTE I 
IRBESARTAN/BESILATE D'AMLODIPINE ,APROVASC,COMPRIME PELLICULE,300MG/5MG,B/30,LISTE I
IRBESARTAN/BESILATE D'AMLODIPINE ,EXIRB,COMPRIME PELLICULE,300MG/5MG,B/30,LISTE I
IRBESARTAN/ AMLODIPINE,APRODEX,COMPRIME PELLICULE,300 MG / 10 MG,BOITE DE 30,Liste I
IRBESARTAN/AMLODIPINE,VASCOVEL,COMPRIME PELLICULE ,300MG/10MG,B/30,LISTE I 
IRBESARTAN/AMLODIPINE (BESILATE),APROVASC ,COMPRIME PELLICULE SECABLE,300MG/10MG,B/30,LISTE I
TELMISARTAN/HYDROCHLOROTHIAZIDE,CO BEKERDIS,COMPRIME,80MG/25 MG,B/30,LISTE I
TELMISARTAN/HYDROCHLOROTHIAZIDE,TELMISARTE +,COMPRIME,80MG/25 MG,B/30,LISTE I
IRBESARTAN / AMLODIPINE,APRODEX,COMPRIME PELLICULE,150 MG / 10 MG,BOITE DE 30,LISTE I
IRBESARTAN/BESILATE D'AMLODIPINE ,APROVASC,COMPRIME PELLICULE ,150MG/10MG,B/30,Liste I
AMLODIPINE BESILATE (AMLODIPINE)/PERINDOPRIL ARGININE (PERINDOPRIL),COVERAM,COMPRIME,5MG/5MG,PILULIER/30,LISTE I 
AMLODIPINE BESILATE (AMLODIPINE)/PERINDOPRIL ARGININE (PERINDOPRIL),COVERAM,COMPRIME ,5MG/10MG,PILULIER/30,LISTE I 
AMLODIPINE BESILATE (AMLODIPINE)/PERINDOPRIL ARGININE (PERINDOPRIL),COVERAM,COMPRIME,10MG/5MG,PILULIER/30,LISTE I 
AMLODIPINE BESILATE (AMLODIPINE)/PERINDOPRIL ARGININE (PERINDOPRIL),COVERAM,COMPRIME,10MG/10MG,PILULIER/30,LISTE I 
PERINDOPRIL ARGININE/INDAPAMIDE,BIPRETERAX ARGININE,COMP PELL,"10MG/2,5MG",PILULIRER/30,LISTE I
AZILSARTAN MEDOXOMIL POTASSIUM ,EDARBI,COMPRIME,40MG ,B/30,LISTE I 
AZILSARTAN MEDOXOMIL POTASSIUM ,EDARBI,COMPRIME ,80MG,B/30,LISTE I 
AZILSARTAN MEDOXOMILPOTASSIUM/CHLORTHALIDONE,EDARBYCLOR,COMPRIME PELLICULE,"40MG/12,5MG",BOITE DE 30,LISTE I 
AZILSARTAN MEDOXOMIL POTASSIUM/CHLORTHALIDONE,EDARBYCLOR,COMPRIME PELLICULE,40MG/25MG,B/30,LISTE I 
TELMISARTAN/ AMLODIPINE ,EXTEL,COMPRIME,80MG / 05 MG,BOITE DE 30,Liste I
TELMISARTAN/ AMLODIPINE ,EXTEL,COMPRIME,80 MG / 10 MG,BOITE DE 30,Liste I
TELMISARTAN/ AMLODIPINE ,TEMISAL,COMPRIME,80MG / 10 MG,BOITE DE 30 ,Liste I
TELMISARTAN/ AMLODIPINE ,EXTEL,COMPRIME,40 MG / 05 MG,BOITE DE 30,Liste I
TELMISARTAN/ AMLODIPINE ,TEMISAL,COMPRIME,40 MG / 5 MG,BOITE DE 30,Liste I
CANDESARTAN (DCI) CILEXETIL / AMLODIPINE,CAZAR,COMPRIME,BOITE DE 30,8 MG / 5 MG,LISTE I
CANDESARTAN (DCI) CILEXETIL / AMLODIPINE,CAZAR,COMPRIME,BOITE DE 30,16 MG / 5 MG,LISTE I
CANDESARTAN (DCI) CILEXETIL / AMLODIPINE,CAZAR,COMPRIME,BOITE DE 30,16 MG / 10 MG,LISTE I
ACEBUTOLOL ,CLOXTON,COMP.PELLI.SEC.,200 MG,B/20,LISTE I
ACEBUTOLOL CHLORHYDRATE,ACEBUTOLOL IVAL,COMP. PELLI. SEC.,200MG,B/30,Liste I
ACEBUTOLOL CHLORHYDRATE,SEBUTOL,COMPRIME PELLICULE ,200MG,B/30,Liste I
ATENOLOL,CARDINOL BGL,Comprimé pelliculé sécable,100MG,B/30,LISTE I
ATENOLOL,DAGHTAN 100,COMP PELL SEC ,100MG,B/30,Liste I
ATENOLOL,TENORMED,COMPRIME SECABLE ,100MG,B/30,LISTE I
METOPROLOL SUCCINATE EXPRIME EN METOPROLOL,METOPRESS,microgranulés a LP EN gélules,200MG,B/30,Liste I
METOPROLOL TARTRATE,LOPRESSOR  LP,COMPRIME SECABLE A LIBERATION PROLONGEE ,200MG,B/30,LISTE I
METOPROLOL TARTRATE,LOPROX,COMP PELL SEC LP,200MG,B/30,LISTE I
METOPROLOL TARTRATE,LORESTA,COMPRIME SECABLE A LIBERATION PROLONGEE,200MG,B/30,LISTE I
METOPROLOL TARTRATE,METOCROVIS,COMPRIME A LIBERATION PROLONGEE,200MG,B/30,Liste I
METOPROLOL TARTRATE,SOPRESSOR,COMPRIME PELLICULE SECABLE ,200MG,B/30,LISTE I
PROPRANOLOL CHLORHYDRATE,FEDICARD,COMPRIME SECABLE ,40MG,B/30,Liste I
PROPRANOLOL CHLORHYDRATE,NEOCARDIL,COMP.SEC,40MG,B/50,Liste I
ATENOLOL,CARDINOL BGL,Comprimé pelliculé sécable,50MG,B/30,LISTE I
ATENOLOL,DAGHTAN 50,COMPRIME PELLICULE ,50MG,B/30,Liste I
BISOPROLOL FUMARATE,BISOPROLOL BEKER,COMP PELL SEC ,10MG ,B/30 ET B/90,LISTE I
BISOPROLOL FUMARATE,BISOPROLOL MM,COMPRIME PELLICULE ,10MG ,B/30,Liste I
BISOPROLOL FUMARATE,BISOSEL,COMPRIME PELLICULE SECABLE,10 MG,BOITE DE 30,LISTE I
BISOPROLOL FUMARATE,BISOTAB,COMPRIME PELLICULE SECABLE,10MG,B/30,LISTE I
BISOPROLOL FUMARATE,BONACOR,COMP. PELLI SEC.,10MG ,B/30,Liste I
BISOPROLOL FUMARATE,CIRBESA,COMPRIME ,10MG,B/30,LISTE I
BISOPROLOL FUMARATE,DETENPRESS,COMP. PELLI. SEC.,10MG ,B/30,Liste I
BISOPROLOL FUMARATE,DIPROLOL,COMP PELL SEC ,10MG,B/30,Liste I
BISOPROLOL FUMARATE,PRODOL,COMP. PELLI. SEC.,10MG ,B/30,Liste I
BISOPROLOL FUMARATE,PROMIVOL,COMP.PELLI SEC.,10MG,B/30,Liste I
BISOPROLOL FUMARATE,RIZOPROL,COMPRIME SECABLE ,10MG,B/30,Liste I
BISOPROLOL SOUS FORME D'HEMIFUMARATE,BYZOLEX,COMP.SEC.,10MG,B/30,LISTE I
METOPROLOL SUCCINATE,TOLOL,GLES LP A MICROGRANULES,100MG,B/30,LISTE I
METOPROLOL TARTRATE,PROSSOR,COMPRIME PELLICULE QUADRISECABLE ,100MG,B/30,LISTE I
METOPROLOL TARTRATE,TEPROLL,COMPRIME PELLICULE QUADRISECABLE,100 MG,B/30,LISTE I
CARVEDILOL,CARDEX,COMP SEC,"6,25MG",B/30,Liste I
CARVEDILOL,CARVEDILOL LDM,COMPRIME SECABLE,"6,25MG",BOITE/30,LISTE I
CARVEDILOL,CARDEX,COMPRIME SECABLE,25 MG,BOITE DE 30,LISTE I
CARVEDILOL,CARVEDILOL LDM,COMPRIME SECABLE,25MG,BOITE/30,LISTE I
CARVEDILOL,DILACARD,COMPRIME,"12,5MG",B/30,LISTE I
BISOPROLOL FUMARATE,BIPROTENS,COMP.PELL.SEC,5MG,B/30,Liste I
BISOPROLOL FUMARATE,BISOPROLOL BEKER,COMP.PELLI.,5MG ,B/30 ET B/90,LISTE I
BISOPROLOL FUMARATE,BISOPROLOL MM,COMPRIME PELLICULE ,5MG,BOITE/30,LISTE I
BISOPROLOL FUMARATE,BISOSEL,COMPRIME PELLICULE SECABLE,5 MG,BOITE DE 30,LISTE I
BISOPROLOL FUMARATE,BISOTAB,COMPRIME PELLICULE SECABLE,5MG,B/30,LISTE I
BISOPROLOL FUMARATE,BONACOR,COMP. PELLI SEC.,5MG,B/30,Liste I
BISOPROLOL FUMARATE,CIRBESA,COMPRIME PELLICULE SECABLE,5MG,B/30,LISTE I
BISOPROLOL FUMARATE,DIPROLOL,COMP. PELLI. SEC.,5MG,B/30,Liste I
BISOPROLOL FUMARATE,PRODOL,COMP. PELLI. SEC.,5MG,B/30,Liste I
BISOPROLOL S/F HEMIFUMARATE,BYZOLEX,COMPRIME QUADRI-SECABLE,5MG,B/30,Liste I
BISOPROLOL SOUS FORME D'HEMIFUMARATE,BISOPROLOL HUP,COMP,5MG,B/30,Liste I
NEBIVOLOL,TEMERIVOL,COMP QUADRISECABLES,5MG,B/30,Liste I
NEBIVOLOL CHLORHYDRATE (NEBIVOLOL),NEBCAR,COMPRIME QUADRISECABLE ,5MG,B/30,LISTE I
NEBIVOLOL CHLORHYDRATE EXPRIME EN NEBIVOLOL,TEMERIT,COMP. QUADRISEC.,5MG,B/30,Liste I
BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,CO BIPROTENS,COMPRIME PELLICULE ,"5MG/6,25MG",B/30,Liste I
